web_scraper_order,web_scraper_start_url,pagination-selector,data,name_coderepository,data2,programminglanguage,data3,data4,description,data5,data6,data7,data8,title,title2,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20
"1766068803-1","https://github.com/korbirayen?tab=repositories","","Public","korbirayen","Dec 17, 2025","","2
        
        
          
    

          1
        



        Updated Dec 17, 2025","Dec 17, 2025","Github Profile Readme","Dec 17, 2025","Starred","Star","2","Lists","Lists","","","","","","","","","2","","","2"
"1766068803-2","https://github.com/korbirayen?tab=repositories","","Public","class-project-Ds-dhia","Dec 17, 2025","Jupyter Notebook","Jupyter Notebook





        Updated Dec 17, 2025","Dec 17, 2025","","Dec 17, 2025","Starred","Star","","","","","","","","","","","","","","",""
"1766068803-3","https://github.com/korbirayen?tab=repositories","","Public","promptdb","Dec 15, 2025","Python","Python





        Updated Dec 15, 2025","Dec 15, 2025","","Dec 15, 2025","Starred","Star","","","","","","","","","","","","","","",""
"1766068803-4","https://github.com/korbirayen?tab=repositories","","Public","korbirayen.github.io","Dec 15, 2025","HTML","portfolio-website","Dec 15, 2025","My portfolio Website","Dec 15, 2025","Starred","Star","4","","","","","","","","","","","4","","","4"
"1766068803-5","https://github.com/korbirayen?tab=repositories","","Public","register","Dec 15, 2025","JavaScript","JavaScript



        
          
    
GNU General Public License v3.0
        


        Updated Dec 15, 2025","Dec 15, 2025","Register for your is-a-good.dev domain!","Dec 15, 2025","Starred","Star","is-a-good-dev/register","","","","","","","","","","","","Forked from is-a-good-dev/register","GNU General Public License v3.0","is-a-good-dev/register"
"1766068803-6","https://github.com/korbirayen?tab=repositories","","Public","Fabric","Dec 14, 2025","JavaScript","JavaScript



        
          
    
MIT License
        


        Updated Dec 14, 2025","Dec 14, 2025","Fabric is an open-source framework for augmenting humans using AI. It provides a modular system for solving specific problems using a crowdsourced set of AI prompts that can be used anywhere.","Dec 14, 2025","Starred","Star","danielmiessler/Fabric","","","","","","","","","","","","Forked from danielmiessler/Fabric","MIT License","danielmiessler/Fabric"
"1766068803-7","https://github.com/korbirayen?tab=repositories","","Public","flight_delay_ML_project","Dec 7, 2025","Jupyter Notebook","Jupyter Notebook


        
          
    

          1
        



        Updated Dec 7, 2025","Dec 7, 2025","","Dec 7, 2025","Starred","Star","1","","","","","","","","","","","1","","","1"
"1766068803-8","https://github.com/korbirayen?tab=repositories","","Public","class-project-Ds-Techniques-de-pr-vision","Dec 6, 2025","Jupyter Notebook","Jupyter Notebook





        Updated Dec 6, 2025","Dec 6, 2025","","Dec 6, 2025","Starred","Star","","","","","","","","","","","","","","",""
"1766068803-9","https://github.com/korbirayen?tab=repositories","","Public","class-project-Ds-NoSql","Dec 6, 2025","Python","Python





        Updated Dec 6, 2025","Dec 6, 2025","","Dec 6, 2025","Starred","Star","","","","","","","","","","","","","","",""
"1766068803-10","https://github.com/korbirayen?tab=repositories","","Public","TunisairAlert","Dec 6, 2025","Python","Python


        
          
    

          1
        

        
          
    
MIT License
        


        Updated Dec 6, 2025","Dec 6, 2025","A data analysis on Tunisair Airlines' flight performance.","Dec 6, 2025","Starred","Star","skanderboudawara/TunisairAlert","","","","","","","","","","","1","Forked from skanderboudawara/TunisairAlert","MIT License","skanderboudawara/TunisairAlert"
"1766068803-11","https://github.com/korbirayen?tab=repositories","","Public","class-project-parisOpenData-DansMaRue","Dec 5, 2025","Python","Python





        Updated Dec 5, 2025","Dec 5, 2025","","Dec 5, 2025","Starred","Star","","","","","","","","","","","","","","",""
"1766068803-12","https://github.com/korbirayen?tab=repositories","","Private","project_impossoble_find","Dec 4, 2025","Python","Python





        Updated Dec 4, 2025","Dec 4, 2025","","Dec 4, 2025","Starred","Star","","","","","","","","","","","","","","",""
